OBJECTID,HERITAGENR,PARLOCATIO,STREETNR,STREETNAME,STREETTYPE,ADDRESS2,SUBURB,DETAILS,HERITAGECL,HERITAGE_1,HERITAGE_2,HERITAGE_3,LHPCLASSTY,LGADESC,SHRCODE,COUNCILREF,CODE,IDCODE,AS2482,AS2482DESC,LOCATIONAC,ACCURACYDE,SOURCEOFDA,INTERIMDAT,INTERIMPAR,AUTHORISAT,AUTHPARREF,POLYGONTYP,POLYGONT_1,LOCALITY,SECTION23S,SECTION16S,PLANPARCEL,VALUATIONS,DEVPLANDES,UNITNR,SHRSTATUSC,SHRSTATUSD,EXTENTOFLI,SIGNIFICAN
246641,1500,188 Gilles Street ADELAIDE,188,Gilles Street,,,ADELAIDE,"Dwelling (former Beresford Arms, later Oddfellows Arms Hotel)",S,State,,,,Adelaide,11583,,1467,H0201467,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 5881/568 F182013 A361,209319004,ADELAIDE Council,,REG,5/04/1984,,"Built in 1840 and licensed for over 20 years as the Beresford, and later Oddfellows Arms, this building remains as a rare and relatively intact example of the many early public houses which traded within the City of Adelaide. Of simple construction on a domestic scale, the building is also one of the few remaining examples of a residential rather than government or religious building within the city dating from the first years of the colony."
246113,1289,25 Pirie Street ADELAIDE,25,Pirie Street,,,ADELAIDE,Meeting Hall (former Pirie Street Wesleyan Methodist Church Meeting Hall),S,State,,,,Adelaide,10654,,1223,H0201223,12560,Hall,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 5751/329 F181672 A830,205096114,ADELAIDE Council,,REG,6/05/1982,,"Built in 1862, the former Methodist Meeting Hall is the last remaining part of a complex which was once the centre of Methodism in South Australia. It was associated with the adjacent Wesleyan Methodist Church (now demolished) and reflects the growth of Adelaide in the 1860s. It also represents an important element of Methodism in its early use as an educational centre in which Prince Alfred College was established. Architecturally, the mid-Victorian Gothic hall is significant for being designed by Edmund Wright, one of the leading architects of the period. The former Methodist Meeting Hall is also significant in maintaining the character of the historic precinct at the rear of Pilgrim Church in Flinders Street and the Town Hall on King William Street. (PJS 25/11/97)"
244167,1539,North Terrace ADELAIDE,,North Terrace,,,ADELAIDE,"Art Gallery of South Australia Auditorium (former Government Supplies Store, later Military Store, sometime South Australian Archives, sometime Historical Museum)",S,State,,,,Adelaide,10876,,1508,H0201508,13020,Museum,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 5759/863 H105100 S562,205754084,ADELAIDE Council,,REG,24/07/1980,,"Built in 1867 as a store for the Mounted Police, the building is associated with the nearby former Mounted Police Barracks (registered place 10872) and former Armoury (registered place 13667). It was later used as a military store by the Colonial and Commonwealth forces. It is also significant as the first home of the South Australian Archives, established in 1919 and the first public archives in Australia. In the 1970s and early 1980s it also served as the Art Gallery of South Australia's Historical Museum."
245940,1380,179-181(rear) Melbourne Street NORTH ADELAIDE,179-181(rear),Melbourne Street,,,NORTH ADELAIDE,Office (former Malt House of Old Lion Brewery),S,State,,,,Adelaide,13558,,1343,H0201343,10510,Hotel - Motel - Inn,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,CT 5241/523 F131820 A1,222933009,ADELAIDE Council,,REG,11/09/1986,,"Built in 1872 to be part of the Lion Brewery and Malthouse that was established by Messrs Bailey and Stanley in 1871, the malthouse was designed by Daniel Garlick, who also designed similar surviving brewery buildings in Clare. The complex represents the development of the brewing industry in Adelaide and this malt house is now a rare item in the city. Another example is in Wyatt Street (registered place 11635). Although industrial buildings in a residential area, the size and scale of the complex on the corner of Jerningham and Melbourne Streets is an important aesthetic contribution to both streetscapes. (PJS 20/11/97)"
246104,1659,45-48 Pennington Terrace NORTH ADELAIDE,45-48,Pennington Terrace,,,NORTH ADELAIDE,"'Downer House' (former Dwelling), St Mark's College",S,State,,,,Adelaide,13374,,1657,H0201657,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,CT 5813/743 F183382 A110,222008104,ADELAIDE Council,,REG,11/09/1986,,"Built in 1876-77, this house is significant for its association with Sir John William Downer, KCMG, KC, MLC, who purchased it in 1880. Downer's career spanned a period from 1878 to 1915 and included service as Premier, Attorney General, Colonial Secretary, Treasurer and in the South Australian Parliament. Downer was also a South Australian Senator in the first Commonwealth Parliament. It is believed that in this house, Downer, with Sir Edmund Barton and others, prepared drafts of the Australian Constitution for the sessions of the Federal Convention held in Adelaide in 1897. (HSA, 2/2001)"
244436,1485,329 Wakefield Street ADELAIDE,329,Wakefield Street,,,ADELAIDE,Dwelling ('Carhayes'),S,State,,,,Adelaide,13420,,1452,H0201452,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 5598/760 D50668 A99,207140107,ADELAIDE Council,,REG,11/09/1986,,"Built in 1879 for Thomas Barnfield, 'Carhayes' is significant as one of the early Adelaide homes of the Bonython family, most notably John Langdon, who lived there for 19 years and his eldest son, John Lavington who owned and occupied 'Carhayes' for nearly 20 years. Both father and son had long and distinguished careers. John Langdon was for many years associated with the Advertiser newspaper, becoming its editor and later its proprietor. He was also one of the first members of the Federal Parliament and his interest in education was reflected in his association with the University of Adelaide, of which he was a principal benefactor, and the SA School of Mines and Industries. He also funded the completion of Parliament House, Adelaide. John Lavington followed his father with interests in the newspaper industry but his main interests were in civic affairs, most notably the Adelaide City Council (over 50 years service) and in being involved with many worthy causes and significant organisations. The house demonstrates the residential development in the southeast part of Adelaide which was much associated with the wealthier residents of the city in the late 19th century."
244106,1454,14-20 King William Road NORTH ADELAIDE,14-20,King William Road,,,NORTH ADELAIDE,Anglican Church Office (former St Barnabas Theological College Building),S,State,,,,Adelaide,13547,,1418,H0201418,15500,Religious Building,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,CT 5166/543 D25581 A102,222001834,ADELAIDE Council,,REG,11/09/1986,,"Built in 1881 as the Colony's first training college for the Anglican clergy, the former St Barnabas Theological College Building is historically significant for its ability to demonstrate the growth of the Anglican Church in South Australia. Although ceasing to function as a college in 1950, the building's association with the Anglican Church has continued through its subsequent use as the Anglican Church Office. Architecturally, it is a good example of the work of the prominent Adelaide architect Daniel Garlick, with later additions designed by English and Soward. It is a good example of late Victorian Gothic style, being a balanced though asymmetrical design, with elements of English Tudor detailing. Major extensions added in 1910 and 1920 were executed in a complementary though more functional style due to financial constraints, and the overall integrity of the building is high. [Adapted from: Barry C Rowney, St Barnabas College Conservation Plan for Anglican Community Services, May 1991]"
246090,1455,95 Palmer Place NORTH ADELAIDE,95,Palmer Place,,,NORTH ADELAIDE,"Office (former Adelaide Kindergarten Training College, former Dwelling) and front fence",S,State,,,,Adelaide,13543,,1419,H0201419,11510,Business House - Offices,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,CT 5952/155 D68290 A51,222034011,ADELAIDE Council,,REG,11/09/1986,,"Built in 1883 for successful merchant and pastoralist GP Doolette, this villa is of most significance for its twentieth century use as the Adelaide Kindergarten Training College, which served the entire State. The College was founded in 1907 and occupied several premises until the Kindergarten Union purchased this dwelling in 1915, thanks to a gift from Robert Barr Smith, one of the State's greatest philanthropists. The College remained in the premises until it relocated to Childers Street, North Adelaide in 1961. For most of that period the College was the second most significant teacher training institution in the State, the other being Adelaide Teachers College, established in 1876 as the Teacher Training School. [S Marsden et al 'Heritage of the City of Adelaide (1990) p371]"
246621,1682,20 Little Gilbert Street ADELAIDE,20,Little Gilbert Street,,,ADELAIDE,Adelaide Mosque,S,State,,,,Adelaide,10947,,1687,H0201687,15500,Religious Building,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT NUA/NUA F207400 A110,,ADELAIDE Council,,REG,24/07/1980,,"Built in 1889, with its four minarets added by 1903, the Adelaide Mosque is historically significant as one of the few relics of Afghan immigration to South Australia in the nineteenth century. Camels were first imported in significant numbers in the 1860s and Afghan camel drivers played an important role in the development of outback South Australia."
246028,1420,58 Palmer Place NORTH ADELAIDE,58,Palmer Place,,,NORTH ADELAIDE,Dwelling ('Duncraig') & Stables,S,State,,,,Adelaide,13510,,1383,H0201383,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,"CT 5101/654 D35454 A6,CT 5101/655 D35454 A7","0220045171, 022006150*",ADELAIDE Council,,REG,11/09/1986,,"Built in 1901 for W H Duncan, MP, a highly successful pastoralist, the former Duncraig illustrates residential development in North Adelaide that is associated with the well-to-do and the desire of pastoralists to have a town address. It was later the home of WGT Goodman, General Manager of the Municipal Tramways Trust and first Chairman of the SA Housing Trust. An example of Australian Victorian Tudor, the use of limestone rubble at this late date is distinctive, particularly when associated with brickwork of high quality. (PJS 25/11/97)"
244379,1331,52-60 East Terrace ADELAIDE,52-60,East Terrace,,,ADELAIDE,Former Municipal Tramways Trust (MTT) No.1 Converter Station,S,State,,,,Adelaide,10986,,1269,H0201269,18100,Historic Sites (unclassified),H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 6102/720 D54280 A501,204798077,ADELAIDE Council,,REG,14/02/1985,,"Built in 1908 and designed by English & Soward, the former Municipal Tramways Trust (MTT) No.1 Converter Station is historically significant because of its identification with the foundation of the MTT, the commencement of the electrification of the tramway network and the history of public transport in Adelaide generally. It is the most important MTT Converter Station to survive although machinery has been removed. It is architecturally significant as an excellent example of the application of architectural design to an industrial building. The building features high quality detailing including rock faced sandstone and brickwork. (Derived from Register of the National Estate listing)"
244522,1487,343-345 Angas Street ADELAIDE,343-345,Angas Street,,,ADELAIDE,Salvation Army Women's Hostel,S,State,,,,Adelaide,13107,,1454,H0201454,18100,Historic Sites (unclassified),H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 5523/856 F182579 A117,CT 6129/335 F182580 A118",207508100,ADELAIDE Council,,REG,11/09/1986,,"Built in 1921, the hostel is important for its association with the Salvation Army, being representative of the philanthropic work of that organisation. It also signifies the changing role of women in the workforce, particularly in the years following the First World War. The hostel represents the many services that the Salvation Army provided, in this case a safe environment for women, particularly for working women from country areas. Architecturally, the building is representative of the type of building constructed for institutional use in the 1920s with its use of red brick and its austere decoration in the form of timber balustrades and leadlights. (PJS 2/12/97)"
244355,1283,27 Currie Street ADELAIDE,27,Currie Street,,,ADELAIDE,Elder House Offices,S,State,,,,Adelaide,11655,,1216,H0201216,11510,Business House - Offices,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 6130/116 F181406 A564,CT 6130/118 F181405 A563",200887005,ADELAIDE Council,,REG,5/04/1984,,"Built in 1937-1940, Elder House is of high historical significance for its long association with one of South Australia's most successful business houses, and the prominent families that established and expanded the Company over three generations. It has a strong cultural presence in the South Australian community through its large number of employees and their familial attachment, its association with Elders widespread business activities, and the long pattern of philanthropy of the management. In the South Australian context Elder House is a rare and good example of the 'commercial palazzo' style of architecture as applied to business/trading house buildings, and of the traditionalist design philosophy and skills of its architect, Walter Hervey Bagot, a prominent and professionally active South Australian Architect. Its representation of both values is now largely confined to the front portion of the 1937-40 building. The building's historical values are of primary importance, enhanced by their expression in the architectural forms and decorative treatments of the building, which remain evident despite the large number of changes that have occurred over time. These values are principally evident in the external and internal fabric of the front section of Elder House, (beneath the hipped roof), where they are substantially intact, and in the ground floor and Boardroom / Executive Suite areas at first and third floor levels. (Condensed from Bruce Harry & Associates 'Elder House Conservation Plan' 1999)"
246067,1418,26 Palmer Place NORTH ADELAIDE,26,Palmer Place,,,NORTH ADELAIDE,Dwelling ('Walkley House') designed by Robin Boyd in the International Style,S,State,,,,Adelaide,13515,,1381,H0201381,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,CT 5669/453 F183390 A118,220055003,ADELAIDE Council,,REG,5/06/1986,,"Built in 1956, this house is a highly significant example of the 'International Style' and is stylistically linked to the work of notable overseas architects such as Philip Johnson's Glasshouse and Mies van der Rohe's Farnsworth House, both completed in the late 1940s in the USA. In addition, it is of considerable architectural interest for being the only structure designed in South Australia by the architect Robin Boyd, who achieved international renown. Born in Melbourne in 1919 into a family of well-known artists, Boyd became renowned as an architect of the 'new breed' of the 1950s who aspired to develop a functional style suited to the Australian climate and lifestyle. He wrote several widely acclaimed books including 'Australia's Home' (1952) and his attack on unimaginative architecture, 'The Australian Ugliness' (1960). [Condensed from S Marsden et al 'Heritage of the City of Adelaide (1990) p367]"
244374,1628,Light Square ADELAIDE,,Light Square,,,ADELAIDE,"Colonel William Light's Grave and Monument, Light Square",S,State,,,,Adelaide,14139,,1611,H0201611,32240,Monument - Column - Cairn - Cross - Shrine - Marker - Statue,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 6102/705 D81642 A122,201800004,ADELAIDE Council,,REG,27/09/1990,,"Colonel William Light was the Colony's first Surveyor-General and was given sole responsibility for selecting the site of Adelaide and preparing the City Plan in 1836-37, for which he has been much praised. He also designed the layout of main roads and subdivision into 'sections' of much of the present metropolitan area. He died from tuberculosis in 1839 and was greatly mourned. His grave in Light Square is notable for being his final resting place and is also likely to be the only marked grave outside a dedicated cemetery in the metropolitan area. The original monument over his grave was completed in 1844 and was significant as one of the Colony's earliest memorials. It decayed and was replaced with the current memorial in 1905. (HB 2/06)"
244502,1362,34 (rear) Angas Street ADELAIDE,34 (rear),Angas Street,,,ADELAIDE,Cunningham Memorial Catholic Chapel,S,State,,,,Adelaide,13416,,1320,H0201320,15500,Religious Building,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 6114/942 D17208 A2,CT 6114/943 D77207 A60",207324256,ADELAIDE Council,,REG,11/09/1986,,"Completed in 1922, the Cunningham Memorial Chapel of the Convent of Mercy was built as a memorial to Mother Cecilia Cunningham's parents and is remarkable for its excellence of design and workmanship at a time when craft skills were still highly regarded. The richly detailed surfaces and finishes render this particular building unique in Adelaide. The consistency of detail and the marriage of the old convent building with the new is well carried through, the design being perhaps the finest to come from the hand of Walter Hervey Bagot. No expense was spared in carrying out his design, with its heavily coffered ornate ceiling, superb parquet flooring, richly carved altars and London-designed stained glass windows. [Adapted from S Marsden et al 'Heritage of the City of Adelaide ' (1990) p203]"
244155,1524,Kintore Avenue ADELAIDE,,Kintore Avenue,,,ADELAIDE,"Hartley Building (originally Adelaide Teachers College), The University of Adelaide",S,State,,,,Adelaide,13652,,1493,H0201493,14010,University,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 6129/107 H105100 S737,020575413*,ADELAIDE Council,,REG,11/09/1986,,"Completed in 1927 as a purpose-built Teachers Training College, in which role it was in continuous use until its transfer to the University of Adelaide in 1991, the Hartley Building is of high historical and architectural significance. As the principal home of teacher training in South Australia for sixty-five years, the building is historically important in the development and expansion of the public education system in South Australia, and for its associations with its first and second principals, Dr A J Schulz and Dr H H Penny, each of whom had a significant influence on teacher training in South Australia. The work of noted South Australian architect George Gavin Lawson, the Hartley Building is a distinctive architectural composition, significant for its rarity as an example of the Inter War Mediterranean ('Spanish Mission') Style. It is an early and unusual example of the use of the Inter War Mediterranean Style in a large institutional building in Adelaide, a style that was more common in domestic architecture in South Australia. Lawson's design incorporated a number of technical innovations in regard to fire protection, including concrete encased escape routes within the building. (Adapted from Bruce Harry & Associates Conservation Plan 1992)"
246055,1382,283-291 Melbourne Street NORTH ADELAIDE,283-291,Melbourne Street,,,NORTH ADELAIDE,Dwelling ('Deepacres' Apartments) and Garage at rear,S,State,,,,Adelaide,13555,,1345,H0201345,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,"CT 5044/999 S358 U15,CT 5044/990 S358 U6,CT 5044/997 S358 U13,CT 5044/985 S358 U1,CT 5044/998 S358 U14,CT 5044/996 S358 U12,CT 5044/995 S358 U11,CT 5044/994 S358 U10,CT 5044/993 S358 U9,CT 5044/987 S358 U3,CT 5044/988 S358 U4,CT 5044/989 S358 U5,CT 5044/","022296100*, 0222962002,0222963005,0222964008,0222965000,0222966003,0222967006,0222968009,0222969001,0222970002,0222971005,0222972008,0222973000,0222974003,0222975006",ADELAIDE Council,,REG,5/06/1986,,"Completed in 1942, 'Deepacres' Apartments are architecturally significant as arguably the finest example of pure 'Modernism' design to be found in Adelaide. Retaining a high degree of integrity, they are one of only a few substantial, private apartment buildings designed and built in Adelaide and South Australia at the time, and represent the developing trend to higher density accommodation in the Depression / early Second World War period. The apartments are associated with the architect J H McConnell, the pioneer of the Modern Movement in Adelaide and responsible for many of Adelaide's important buildings of the period, and an important influence on Adelaide architects who followed him. They are also a notable example of the work of Fricker Brothers, who over many years were responsible for the construction of a large number of important buildings in South Australia. Their design displays a high degree of careful and thoughtful detail within what appears a simple composition. The exterior appearance represents an uncompromising expression of the Modernist style, with strong structural elements such as the 'flat' roof, steel window frames, terrazzo elements and exposed brick and concrete structure. The interiors of the fifteen apartments continue the Modernist aesthetic, with uncluttered internal layouts, quality finishes, and the inclusion of efficient and functional features suited to changing lifestyles in the mid-twentieth century. [Adapted from: Bruce Harry & Associates, Conservation Management Plan for 'Deepacres' Apartments, June 1996]"
