Road Name,Asset ID (Identifier),Easting (Location/Map Coordinates),Northing (Location/Map Coordinates),Monument Type,Description,Geometry
BLYTH ST,181,280480.61,6132868.64,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428530.5668919 -4153410.89443481)
BLYTH ST,182,280480.89,6132865.65,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428530.8143433 -4153414.5574916)
BLYTH ST,183,280481.13,6132862.66,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428531.0203345 -4153418.2219968)
BLYTH ST,184,280479.08,6132887.07,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428529.2432007 -4153388.29702919)
BLYTH ST,185,280478.75,6132891.09,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428528.94911 -4153383.37466474)
BLYTH ST,186,280478.41,6132895.05,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428528.6582226 -4153378.5221432)
BLYTH ST,187,280478.09,6132899.04,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428528.3827669 -4153373.63572642)
CURRIE ST INC,66,280190.87,6132622.55,Memorial,COLONEL LIGHT MEMORIAL AND POND CC REF:CC000130,POINT (15428170.5366791 -4153703.39477883)
GRENFELL ST DEC,215,281233.67,6132786.02,Sculpture,"HINDMARSH SQUARE - """"CONCRETE BALL"""" SCULPTURE",POINT (15429445.1584535 -4153534.04749482)
GRENFELL ST DEC,228,281249.71,6132796.56,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429464.9979938 -4153521.62434445)
GRENFELL ST DEC,229,281243.85,6132795.58,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429457.8335822 -4153522.65149492)
GRENFELL ST DEC,230,281243.38,6132794.99,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429457.2440521 -4153523.3594398)
GRENFELL ST DEC,231,281244.7,6132793.07,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429458.7954647 -4153525.74671511)
GRENFELL ST DEC,232,281241.54,6132793.04,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429454.9465934 -4153525.69086355)
GRENFELL ST DEC,233,281242.64,6132791,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429456.2266086 -4153528.21848493)
GRENFELL ST DEC,234,281240.36,6132790.07,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429453.4230904 -4153529.28931995)
GRENFELL ST DEC,235,281241.17,6132787.69,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429454.3400535 -4153532.22434983)
GRENFELL ST DEC,236,281238.89,6132787.25,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429451.5508207 -4153532.69579793)
GRENFELL ST DEC,237,281240.31,6132784.6,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429453.2027215 -4153535.978969)
GRENFELL ST DEC,238,281251.01,6132793.57,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429466.4938583 -4153525.3198968)
GRENFELL ST DEC,239,281249.02,6132792.36,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429464.0353174 -4153526.74173397)
GRENFELL ST DEC,240,281251.53,6132791.2,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429467.0579771 -4153528.23419927)
GRENFELL ST DEC,241,281251.07,6132790.7,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429466.4832484 -4153528.83234646)
GRENFELL ST DEC,242,281245.54,6132788.68,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429459.6903587 -4153531.14133077)
GRENFELL ST DEC,220,281245.57,6132794.31,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429459.8910339 -4153524.25538053)
GRENFELL ST DEC,221,281241.87,6132789.57,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429455.247271 -4153529.94516362)
GRENFELL ST DEC,222,281240.66,6132786.05,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429453.6712001 -4153534.2155239)
GRENFELL ST DEC,224,281251.37,6132788.33,Sculpture,"HINDMARSH SQUARE - """"TAP AND HOSE"""" SCULPTURE",POINT (15429466.7794687 -4153531.74020682)
HINDLEY ST,196,280569.35,6132846.31,Statue,ROY 'MO' RENE,POINT (15428637.961736 -4153440.8148526)
HURTLE SQ,143,281406.13,6131753.24,Sculpture,TIMBER/STONE SEAT SCULPTURE,POINT (15429625.0710517 -4154802.50566174)
HUTT ST,174,281932.59,6131890.79,Commerative Fountain,HUTT STREET - EAST SIDE BETWEEN CARRINGTON ST AND HALIFAX ST,POINT (15430270.2272692 -4154649.62630268)
HUTT ST,271,281912.46,6131957.29,Clock,ARTISTIC CLOCK,POINT (15430247.6456361 -4154567.68481521)
KING WILLIAM RD DEC,150,280734.91,6133043.12,Memorial,SOUTH AFRICAN WAR MEMORIAL CC REF:CC000128,POINT (15428845.3222309 -4153204.93420543)
KING WILLIAM RD DEC,165,280755.65,6133329.18,Plaque,MEDICAL SERVICES MEMORIAL WW2 PLAQUE,POINT (15428878.9342116 -4152855.64028157)
KING WILLIAM RD DEC,166,280778.09,6133336.54,Plaque,2/3RD AUSTRALIAN MACHINE GUN BATTALION PLAQUE,POINT (15428906.4731094 -4152847.2963057)
KING WILLIAM RD DEC,167,280795.62,6133339.53,Plaque,SA SCOTTISH REGIMENT PLAQUE,POINT (15428927.9057111 -4152844.15341283)
KING WILLIAM RD DEC,45,280821.43,6133340.18,Plaque,2/27TH INFANTRY BATTALION PLAQUE,POINT (15428959.3520398 -4152844.11558468)
KING WILLIAM RD DEC,202,280748.18,6133061.04,Plaque,AUSTRALIA'S BICENTENARY PLAQUE - CC REF:CC002536,POINT (15428862.0044384 -4153183.40400829)
KING WILLIAM RD DEC,203,280759.63,6133064.74,Plaque,RUBBLE LIMESTONE WALL RESTORATION PLAQUE,POINT (15428876.0549573 -4153179.21423483)
KINTORE AVE,270,280907.69,6133089.85,Memorial,SOUTH AUSTRALIAN WAR MEMORIAL - GREAT WAR WW1 1914 - 1918,POINT (15429057.0824508 -4153152.84624105)
KINTORE AVE,48,280918.18,6133117.96,Memorial,ROYAL AUSTRALIAN REGIMENT -  KOREA-MALAY-BORNEO-VIETNAM MEMORIAL,POINT (15429070.6657272 -4153118.76357549)
KINTORE AVE,49,280902.59,6133115.92,Memorial,IN MEMORY OF OFFICERS-NCO'S & MEN 50TH BATTALION MEMORIAL,POINT (15429051.628733 -4153120.80181078)
KINTORE AVE,50,280890.59,6133113.19,Memorial,OUR COMRADES 48TH BATTALION AIF 1916 MEMORIAL,POINT (15429036.9406274 -4153123.78803019)
KINTORE AVE,51,280884.65,6133109.27,Memorial,SECOND WW 1939 - 1945 MEMORIAL,POINT (15429029.5858819 -4153128.40853706)
KINTORE AVE,52,280894.69,6133106.3,Memorial,ENLISTED SERVICEMEN - MALAYA-BORNEO-KOREA-VIETNAM MEMORIAL,POINT (15429041.7292183 -4153132.34702113)
KINTORE AVE,53,280880.45,6133105.3,Memorial,IN MEMORY OF OFFICERS-NCO'S & MEN 27TH BATTALION MEMORIAL,POINT (15429024.3591199 -4153133.15251065)
KINTORE AVE,55,280891,6133096.22,Plaque,LONE PINE BATTLE PLAQUE,POINT (15429036.9368694 -4153144.56600663)
KINTORE AVE,40,280882.08,6133346.08,Plaque,IN MEMORY OF ALL MEMBERS WHO SERVED PLAQUE - CC REF:CC002550,POINT (15429033.377864 -4152838.68294784)
KINTORE AVE,41,280872.39,6133345.95,Plaque,2/43RD INFANTRY BATTALION PLAQUE,POINT (15429021.5763326 -4152838.55778789)
KINTORE AVE,42,280891.8,6133344.87,Plaque,SOUTH AUSTRALIAN PRISONERS OF WAR PLAQUE,POINT (15429045.1694984 -4152840.44783343)
KINTORE AVE,43,280853.98,6133343.51,Plaque,IN MEMORY OF ALL MEMBERS WHO SERVED PLAQUE,POINT (15428999.08467 -4152841.0010008)
KINTORE AVE,44,280833.84,6133341.26,Plaque,ROYAL AUSTRALIAN ARTILLERY PLAQUE - CC REF:CC002539,POINT (15428974.4895627 -4152843.16218276)
LEIGH ST,94,280552.59,6132716.37,Plaque,,POINT (15428613.7600289 -4153599.2642878)
LEIGH ST,95,280552.71,6132714.92,Plaque,,POINT (15428613.8647878 -4153601.04887862)
LEIGH ST,96,280553.38,6132715.72,Plaque,,POINT (15428614.7016538 -4153600.08869055)
LEIGH ST,97,280551.84,6132715.57,Plaque,,POINT (15428612.8257452 -4153600.22212525)
LEIGH ST,98,280558.84,6132723.94,Plaque,,POINT (15428621.589815 -4153590.18549535)
LEIGH ST,99,280559,6132722.43,Plaque,,POINT (15428621.7379638 -4153592.04089633)
LEIGH ST,100,280559.68,6132723.27,Plaque,,POINT (15428622.588 -4153591.03941208)
LEIGH ST,101,280558.17,6132723.13,Plaque,,POINT (15428620.7550934 -4153591.15797429)
LEIGH ST,102,280559.13,6132720.59,Plaque,,POINT (15428621.8434948 -4153594.3028427)
LEIGH ST,103,280542.34,6132833.03,Plaque,,POINT (15428604.6857069 -4153456.25967158)
LEIGH ST,104,280542.19,6132834.51,Plaque,,POINT (15428604.5536443 -4153454.44507062)
LEIGH ST,105,280543,6132833.84,Plaque,,POINT (15428605.5141552 -4153455.29439749)
LEIGH ST,106,280541.5,6132833.72,Plaque,,POINT (15428603.6915097 -4153455.39239679)
LEIGH ST,107,280550.35,6132826.63,Plaque,,POINT (15428614.260671 -4153464.33240561)
LEIGH ST,108,280550.2,6132828.15,Plaque,,POINT (15428614.1128166 -4153462.46479344)
LEIGH ST,109,280549.54,6132827.32,Plaque,,POINT (15428613.2835203 -4153463.4655423)
LEIGH ST,110,280551.03,6132827.47,Plaque,,POINT (15428615.1073955 -4153463.316166)
LEIGH ST,111,280550.12,6132829.14,Plaque,,POINT (15428614.0541256 -4153461.25046326)
LEIGH ST,112,280546.85,6132802.39,Plaque,,POINT (15428609.2873263 -4153493.87928496)
LEIGH ST,113,280547.46,6132795.08,Plaque,,POINT (15428609.8140095 -4153502.83405037)
LEIGH ST,114,280548.39,6132783.92,Plaque,,POINT (15428610.6201338 -4153516.51016342)
LEIGH ST,115,280549.01,6132776.53,Plaque,,POINT (15428611.1527685 -4153525.57279681)
LEIGH ST,116,280549.86,6132766.29,Plaque,,POINT (15428611.8908795 -4153538.11882577)
LEIGH ST,117,280550.68,6132756.47,Plaque,,POINT (15428612.59961 -4153550.16112082)
LEIGH ST,118,280551.55,6132745.96,Plaque,,POINT (15428613.3576872 -4153563.0442425)
LEIGH ST,119,280551.19,6132799.25,Plaque,,POINT (15428614.4792221 -4153497.84402995)
LEIGH ST,120,280551.51,6132795.47,Plaque,,POINT (15428614.7521877 -4153502.47953295)
LEIGH ST,121,280551.81,6132791.78,Plaque,,POINT (15428615.0168263 -4153507.00468285)
LEIGH ST,122,280552.12,6132788.03,Plaque,,POINT (15428615.2870457 -4153511.60218137)
LEIGH ST,123,280552.28,6132786.12,Plaque,,POINT (15428615.4237865 -4153513.93462891)
LEIGH ST,124,280554.02,6132782.18,Plaque,,POINT (15428617.4200077 -4153518.80754523)
LEIGH ST,125,280554.19,6132780.62,Plaque,,POINT (15428617.5812471 -4153520.72689498)
LEIGH ST,126,280553.33,6132781.3,Plaque,,POINT (15428616.5637021 -4153519.86762045)
LEIGH ST,127,280554.85,6132781.44,Plaque,,POINT (15428618.4174736 -4153519.74221917)
LEIGH ST,128,280552.69,6132781.25,Plaque,,POINT (15428615.7744671 -4153519.90610352)
LEIGH ST,129,280555.55,6132780.75,Plaque,,POINT (15428619.2462732 -4153520.59693971)
LEIGH ST,130,280554.25,6132779.84,Plaque,,POINT (15428617.6340787 -4153521.67672001)
LEIGH ST,131,280552.81,6132779.76,Plaque,,POINT (15428615.8817387 -4153521.73847587)
LEIGH ST,132,280552.9,6132778.67,Plaque,,POINT (15428615.9595996 -4153523.06832508)
LEIGH ST,133,280553.39,6132772.73,Plaque,,POINT (15428616.3862909 -4153530.34513122)
LEIGH ST,134,280553.57,6132770.6,Plaque,,POINT (15428616.5406594 -4153532.9595135)
LEIGH ST,135,280553.73,6132768.65,Plaque,,POINT (15428616.6807506 -4153535.35569104)
LEIGH ST,136,280554.06,6132764.72,Plaque,,POINT (15428616.9628712 -4153540.16890136)
LEIGH ST,137,280554.39,6132760.78,Plaque,,POINT (15428617.246005 -4153544.99070575)
LEIGH ST,138,280554.55,6132758.79,Plaque,,POINT (15428617.3899143 -4153547.43103976)
LEIGH ST,139,280554.47,6132759.78,Plaque,,POINT (15428617.317828 -4153546.21637724)
LEIGH ST,140,280554.96,6132753.94,Plaque,,POINT (15428617.7385701 -4153553.38534812)
LEIGH ST,141,280555.04,6132752.93,Plaque,,POINT (15428617.8114647 -4153554.61716607)
LEIGH ST,142,280555.2,6132750.95,Plaque,,POINT (15428617.9532019 -4153557.04643431)
LEIGH ST,157,280541.59,6132838.48,Monument,GRC BASE FOR LIGHTING COLUMN,POINT (15428603.9402365 -4153449.57617036)
LEIGH ST,158,280548.38,6132838.98,Monument,GRC BASE FOR LIGHTING COLUMN,POINT (15428612.2207026 -4153449.16154508)
LEIGH ST,159,280559.27,6132714.08,Monument,GRC BASE FOR LIGHTING COLUMN,POINT (15428621.8310576 -4153602.26307666)
LEIGH ST,160,280548.84,6132713.31,Monument,GRC BASE FOR LIGHTING COLUMN,POINT (15428609.1049558 -4153602.90094182)
MOONTA ST,209,280416.07,6132052.05,Sculpture,MOONTA STREET LIONS,POINT (15428428.0751489 -4154407.91060666)
MOONTA ST,210,280403.2,6132185.47,Sculpture,MOONTA STREET - NORTHERN ENTRANCE GATEWAY,POINT (15428416.3019077 -4154244.31472618)
MORPHETT ST 1,86,280267.07,6131792.05,Plaque,BROWN STREET NAMING PLAQUE,POINT (15428239.0000656 -4154721.58958443)
PULTENEY ST,82,281316.84,6132798.09,Sculpture,2.6MT PINK GRANITE PAUL TRAPPE SCULPTURE,POINT (15429546.7881642 -4153521.7185014)
PULTENEY ST,89,281380.4,6131914.34,Plaque,HANSON STRET NAMING PLAQUE,POINT (15429598.4315048 -4154604.6679596)
PULTENEY ST,175,281370.24,6131815.25,Sculpture,"""""THE FOREST OF DREAMS"""" METAL SCULPTURES",POINT (15429583.16973 -4154725.59340316)
PULTENEY ST,216,281252.93,6132803.72,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429469.1277957 -4153512.96027152)
PULTENEY ST,212,281254.11,6132802.08,Sculpture,"HINDMARSH SQUARE - """"BONE"""" SCULPTURE",POINT (15429470.5168919 -4153515.00093675)
PULTENEY ST,225,281249.51,6132799.87,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429464.8509514 -4153517.56957275)
PULTENEY ST,226,281251.91,6132798.35,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429467.7291641 -4153519.49918031)
PULTENEY ST,227,281254.55,6132797.89,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429470.9305338 -4153520.13918476)
PULTENEY ST,218,281256.07,6132798.71,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429472.8053742 -4153519.18064491)
PULTENEY ST,244,281264.24,6132813.59,Plaque,HINDMARSH SQUARE PLAYSPACE COMMISSIONING PLAQUE,POINT (15429483.187935 -4153501.21815175)
RUNDLE MALL,247,281062.62,6132895.39,Sculpture,SPHERES - 2 STAINLESS STEEL BALLS CC REF:CC000929,POINT (15429240.0525914 -4153395.25220298)
RUNDLE MALL,248,280984.49,6132887.83,Sculpture,GIRL ON A SLIDE,POINT (15429144.6938998 -4153402.21058481)
RUNDLE MALL,273,280882.89,6132879.22,Sculpture,A DAY OUT 4 - LIFE SIZE PIGS & BIN LID CC REF:CC002700,POINT (15429020.7262807 -4153409.75921907)
SIR EDWIN SMITH AVE,262,280708.62,6133826.78,Memorial,THEIR NAME LIVETH FOREVER MEMORIAL,POINT (15428836.2065108 -4152245.63209224)
SIR EDWIN SMITH AVE,259,280785.08,6133859.9,Monument,NAVAL GARDENS ANCHOR,POINT (15428930.2696199 -4152207.36662422)
SIR EDWIN SMITH AVE,33,280707.21,6133806.16,Plaque,MISS M S DOUGLAS TREE PLANTING PLAQUE,POINT (15428833.8873481 -4152270.81093995)
SIR EDWIN SMITH AVE,34,280751.82,6133775.93,Statue,GEORGE V CC REF:CC001790,POINT (15428887.3206056 -4152309.0942184)
VICTOR RICHARDSON RD,10,280502.87,6133795.04,Statue,THE FARNESE HERCULES CC REF:CC000099,POINT (15428584.7623818 -4152278.41242368)
VICTOR RICHARDSON RD,11,280513.91,6133742.36,Commerative Fountain,,POINT (15428596.6640944 -4152343.16955734)
VICTOR RICHARDSON RD,168,280549.96,6133689.24,Fountain,CRESWELL GARDENS FOUNTAIN,POINT (15428639.0050444 -4152409.1997708)
VICTORIA DR,149,280785.73,6133499.82,Monument,VIETNAM VETERANS MEMORIAL,POINT (15428920.5449999 -4152647.80471532)
VICTORIA DR,36,280812.93,6133492.59,Plaque,AMERICA REMEMBERS PLAQUE,POINT (15428953.4531448 -4152657.44599324)
VICTORIA DR,257,280788.78,6133487.66,Monument,PASSAGE TO FREEDOM MONUMENT,POINT (15428923.9035889 -4152662.7675704)
VICTORIA DR,258,280785.21,6133487.28,Monument,RESETTLE INTEGRATION CONTRIBUTION MONUMENT,POINT (15428919.5455786 -4152663.12762182)
VICTORIA SQ,151,280828.66,6132268.32,Statue,CHARLES CAMERON KINGSTON CC REF:CC000152,POINT (15428936.8399435 -4154155.46450291)
VICTORIA SQ,155,280778.86,6132240.92,Statue,VICTORIA R.I. CC REF:CC000104,POINT (15428875.4010169 -4154187.5140545)
WAKEFIELD ST,281,280782.539,6132202.459,Plaque,CENTENARY OF STREET PASSENGER TRANSPORT IN ADELAIDE PLAQUE -  CC REF: CC002356,POINT (15428878.7559952 -4154234.67409098)
WAR MEMORIAL DR,286,280721.7095,6133745.91,Plaque,war memorial drive plaque,POINT (15428849.7816068 -4152344.92849649)
WAR MEMORIAL DR,170,280542.35,6133467.68,Fountain,ELDER PARK FOUNTAIN - FLOATING,POINT (15428623.2611115 -4152679.97176293)
WAR MEMORIAL DR,12,280566.14,6133638.51,Statue,SIR ROSS SMITH CC REF:CC000469,POINT (15428657.2226451 -4152471.72348883)
WAR MEMORIAL DR,265,280562.91,6133481.13,Sculpture,"""""TALKING OUR WAY HOME"""" 5 GLASS & STAINLESS STEEL BOATS",POINT (15428648.6886551 -4152664.12441477)
CATHERINE HELEN SPENCE ST,284,281080.683,6131759.243,Sculpture,"""""RETRACE"""" LOW RELIEF SCULPTURE AND LIGHTING INSTALLATION- 2002- BY SUE RODWELL AND TREVOR RODWELL",POINT (15429215.5910746 -4154787.01056804)
CATHERINE HELEN SPENCE ST,272,281080.68,6131759.24,Sculpture,"""RETRACE"" LOW RELIEF SCULPTURE AND LIGHTING INSTALLATION- 2002- BY SUE RODWELL AND TREVOR RODWELL",POINT (15429228.8978407 -4154785.62583026)
LIBERMAN CL,268,281639.2,6132894.63,Sculpture,"""""THE APRON"""" METAL & WOOD SCULPTURE",POINT (15429942.1440031 -4153413.05959412)
LIBERMAN CL,269,281622.17,6132886.91,Sculpture,"""""OWEN BROUGHTON"""" METAL SCULPTURE",POINT (15429921.1818322 -4153421.99894634)
OLD ACCESS RD PK21 VEALE GDNS,93,280729.84,6131370.5,Fountain,VEALE GARDENS FOUNTAIN - ADJ. PAVILLION ON THE PARK,POINT (15428790.2557905 -4155250.91557489)
LIGHT SQ NORTH SLIP LANE,67,280201.41,6132586.96,Plaque,LIGHT SQUARE REDESIGN PLAQUE,POINT (15428182.3325749 -4153747.23926042)
LIGHT SQ NORTH SLIP LANE,249,280183.58,6132703.68,Sculpture,STAINLESS STEEL SCULPTURE - 'THE KNOT',POINT (15428164.0386614 -4153603.9448633)
LIGHT SQ NORTH SLIP LANE,492,,,Plaque,bert flugeman,POINT (15428712.4384546 -4153868.07692433)
LIGHT SQ NORTH SLIP LANE,493,280184.1398,6132698.058,Plaque,bert flugeman,POINT (15428164.5533386 -4153610.83231831)
LIGHT SQ EAST AND WEST,69,280162.93,6132549.08,Statue,CATHERINE HELEN SPENCE CC REF:CC001785,POINT (15428134.360529 -4153792.44469259)
VICTORIA SQ (EAST SIDE KING WILLIAM STTO KING WILLIAM ST,278,280769.731,6132345.68,Plaque,VICTORIA SQUARE FOUNTAIN PLAQUE,POINT (15428867.3441507 -4154059.0958202)
VICTORIA SQ (EAST SIDE KING WILLIAM STTO KING WILLIAM ST,279,280786.068,6132333.292,Plaque,MAJOR GENERAL SIR WINSTON J DUGAN TREE PLANTING PLAQUE,POINT (15428886.8769195 -4154074.72953712)
PARK 05 - NGAMPA YARTA,27,280462.6,6135472.05,Plaque,NATIVE TREE AND SHRUB PLANTING PLAQUE - CC REF:CC002296,POINT (15428584.7584754 -4150226.26916736)
PARK 10 - WARNPANGGA,28,281410.45,6134429.8,Memorial,NORTH ADELAIDE WAR MEMORIAL CC REF:CC000247,POINT (15429708.2987315 -4151528.66319089)
PARK 11 - TAINMUNTILLA,251,281801.54,6134179.56,Sculpture,"""""JOURNEY"""" METAL SCULPTURE - CC REF:CC002310",POINT (15430177.1814227 -4151846.14480325)
PARK 11 - TAINMUNTILLA,252,281671.93,6134060.22,Sculpture,"""""LANDLINE - TIMELINE"""" POLISHED STONE / STEEL SCULPTURE - CC REF:CC002310",POINT (15430015.9051479 -4151988.32060491)
PARK 11 - TAINMUNTILLA,253,281695.7,6134033.79,Sculpture,"""""RIVER MARKERS"""" - STAINLESS STEEL SCULPTURES - CC REF:CC002310",POINT (15430044.0779357 -4152021.34092423)
PARK 11 - TAINMUNTILLA,254,281620.88,6134036.91,Sculpture,"""""END DIVIDED PATH"""" - STONE & CONCRETE MONOLITH - CC REF:CC002310",POINT (15429953.0707792 -4152015.3389723)
PARK 11 - TAINMUNTILLA,255,281585.59,6134041.71,Sculpture,"""""YOU ARE HERE"""" - GRANITE SCULPTURE - CC REF:CC002310",POINT (15429910.2427413 -4152008.43690801)
PARK 12 - KARRAWIRRA,256,280681.08,6133683.94,Monument,SIMPSON AND DONKEY,POINT (15428798.5010164 -4152419.53190478)
PARK 12 - KARRAWIRRA,260,280861.09,6134140.23,Memorial,FORGOTTEN AUSTRALIANS MEMORIAL,POINT (15429031.0003623 -4151866.7319186)
PARK 12 - KARRAWIRRA,261,280670.05,6133837.28,Memorial,ATATURK TRIBUTE MEMORIAL,POINT (15428789.5513961 -4152231.65766468)
PARK 12 - KARRAWIRRA,263,280706.58,6133867.55,Memorial,ETERNAL FLAME MEMORIAL,POINT (15428834.9136726 -4152195.70679787)
PARK 12 - KARRAWIRRA,264,281248.26,6133577.86,Sculpture,"""""THE FUGUE"""" ABSTRACT METAL SCULPTURE",POINT (15429486.0069466 -4152565.90703694)
PARK 12 - KARRAWIRRA,245,280714.37,6133455.81,Statue,LADY ESTHER LIPMAN JACOBS - BRONZE BUST,POINT (15428832.3697911 -4152699.54111281)
PARK 12 - KARRAWIRRA,246,280718.45,6133415.54,Statue,VAIBEN LOUIS SOLOMON - BRONZE BUST,POINT (15428836.1611413 -4152748.91693834)
PARK 12 - KARRAWIRRA,199,280858.3,6133060.98,Statue,MATTHEW FLINDERS CC REF:CC001789,POINT (15428996.0935144 -4153186.70862771)
PARK 12 - KARRAWIRRA,200,280813.27,6133057.72,Statue,VENUS DI CANOVA CC REF:CC000098,POINT (15428941.1661811 -4153189.37513907)
PARK 12 - KARRAWIRRA,201,280791.15,6133056.52,Statue,DAME ROMA MITCHELL CC REF:CC002568,POINT (15428914.1960543 -4153190.19390879)
PARK 12 - KARRAWIRRA,204,280819.53,6133062.88,Statue,SIR MELLIS NAPIER CC REF:CC001792,POINT (15428948.9395711 -4153183.24711907)
PARK 12 - KARRAWIRRA,205,280821.97,6133060.44,Statue,LORD FLOREY CC REF:CC001791,POINT (15428951.8394408 -4153186.30330936)
PARK 12 - KARRAWIRRA,206,280826.89,6133054.93,Statue,MARY LEE CC REF:CC002328,POINT (15428957.6694916 -4153193.18747841)
PARK 12 - KARRAWIRRA,207,280829.32,6133059.28,Statue,MARK OLIPHANT CC REF:CC001793,POINT (15428960.7555052 -4153187.93786534)
PARK 12 - KARRAWIRRA,178,280657.7963,6133890.866,Memorial,CROSS OF SACRIFICE CC REF:CC001801,POINT (15428776.1973424 -4152165.75807927)
PARK 12 - KARRAWIRRA,288,280748.1554,6133057.029,Plaque,the Jubilee 150 board,POINT (15428861.8572968 -4153188.30928067)
PARK 12 - KARRAWIRRA,289,280748.275,6133054.047,Plaque,George Fife Angas,POINT (15428861.9157979 -4153191.96060736)
PARK 12 - KARRAWIRRA,290,280748.2881,6133051.851,Plaque,George French Angas,POINT (15428861.86759 -4153194.64700964)
PARK 12 - KARRAWIRRA,291,280748.2068,6133050.274,Plaque,Dr Charles George Everhard M.D.,POINT (15428861.7225248 -4153196.57323822)
PARK 12 - KARRAWIRRA,292,280748.2799,6133048.996,Plaque,Sir Henry Ayers,POINT (15428861.7741939 -4153198.13875208)
PARK 12 - KARRAWIRRA,293,280748.1734,6133047.399,Plaque,Walter Hervey Bagot,POINT (15428861.5978295 -4153200.08992876)
PARK 12 - KARRAWIRRA,294,280758.3447,6133042.478,Plaque,Sir Richard Baker,POINT (15428873.8394551 -4153206.40744292)
PARK 12 - KARRAWIRRA,295,280761.4855,6133043.173,Plaque,Robert Barr Smith,POINT (15428877.6842443 -4153205.64986581)
PARK 12 - KARRAWIRRA,296,280763.858,6133043.206,Plaque,Tom Elder Barr Smith,POINT (15428880.5741537 -4153205.67925174)
PARK 12 - KARRAWIRRA,297,280766.1163,6133043.358,Plaque,Percy Raymond Begg,POINT (15428883.328501 -4153205.55886855)
PARK 12 - KARRAWIRRA,298,280768.4419,6133043.688,Plaque,Dervish Bejah,POINT (15428886.1699694 -4153205.22395367)
PARK 12 - KARRAWIRRA,299,280771.2026,6133043.748,Plaque,Susan Grace Benny,POINT (15428889.5333684 -4153205.23182597)
PARK 12 - KARRAWIRRA,300,280774.0195,6133043.802,Plaque,John Bishop,POINT (15428892.9650435 -4153205.24795182)
PARK 12 - KARRAWIRRA,301,280776.4209,6133044.044,Plaque,John McConnell Black,POINT (15428895.8962585 -4153205.02216647)
PARK 12 - KARRAWIRRA,302,280780.0024,6133044.447,Plaque,Abraham tobias Boas,POINT (15428900.2691506 -4153204.63456612)
PARK 12 - KARRAWIRRA,303,280783.0654,6133044.359,Plaque,Jean lady bonython,POINT (15428903.9963253 -4153204.83258334)
PARK 12 - KARRAWIRRA,304,280787.4098,6133044.684,Plaque,Sir Langdon Bonython,POINT (15428909.2959396 -4153204.56143116)
PARK 12 - KARRAWIRRA,305,280790.826,6133045.155,Plaque,Sir Donald Bradman,POINT (15428913.4695176 -4153204.08653127)
PARK 12 - KARRAWIRRA,306,280794.0333,6133045.487,Plaque,Bragg,POINT (15428917.3846904 -4153203.77430117)
PARK 12 - KARRAWIRRA,307,280797.5163,6133045.72,Plaque,Hooper Josse Brewster Jones,POINT (15428921.6326946 -4153203.59088945)
