id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20545927,http://www.catalog.slsa.sa.gov.au/record=b2054592,http://www.catalog.slsa.sa.gov.au/xrecord=b2054592,"Gall, Ernest, photographer",North Terrace West,1909,Photograph  20.6 cm x 14.9 cm,"[General description] Buildings on North Terrace west, including W. Gilbert Grain Merchant, G.A. Prevost and Company, and Hugh V. McKay Sunshine Harvester Works. A sign in McKay's window advertises the Sun Twin Stump Jump Disc Cultivator. [On back of phoptograph] Acre 11. North Terrace West. 1909-18. Probably 1909. See B 7787/3. Frontage of McKay's: 31 yards. Left side of McKay's is 62 yards west of Victoria Street",,http://images.slsa.sa.gov.au/mpcimg/03500/B3252.jpg,11
b20545939,http://www.catalog.slsa.sa.gov.au/record=b2054593,http://www.catalog.slsa.sa.gov.au/xrecord=b2054593,"Gall, Ernest, photographer",North Terrace West,1909,Photograph  20.6 cm x 14.3 cm,"[General description] W. Gilbert and Company Grain and Forage Merchants in North Terrace west. The signage advertises they sell seed wheat, pollard, baled hay, baled straw, manures, dry cut chaff, bran and oats, and are agents for implements and machinery. A sign above the entrance states W. Gilbert and Company Forage and Grain Merchants Mills- Gawler Railways and Wasleys. A woman pushing a pram and small child are talking to a dog in the entrance. [On back of photograph] Acres 11 & 12. North Terrace West 1909-12. Probably 1909. See B7787/3. Left side of Gilbert's is about 28 yards west of Victoria Street",,http://images.slsa.sa.gov.au/mpcimg/03500/B3253.jpg,11
b20545952,http://www.catalog.slsa.sa.gov.au/record=b2054595,http://www.catalog.slsa.sa.gov.au/xrecord=b2054595,,"W. Gilbert, Grain Merchants, North Terrace",1909,Photograph  14.8 cm x 10.6 cm,"Premises of W.Gilbert & Company, North Terrace. Frontage: 22 and a half yards. Left side is 27 and a half yards west of Victoria Street",,http://images.slsa.sa.gov.au/mpcimg/08000/B7897.jpg,11
b20592528,http://www.catalog.slsa.sa.gov.au/record=b2059252,http://www.catalog.slsa.sa.gov.au/xrecord=b2059252,"Gazard, John, photographer","Blyth Street, East Side",1902,Photograph ;RESERVE 1 b,"Blyth Street, east side 1902-05",,http://images.slsa.sa.gov.au/mpcimg/09000/B8852.jpg,13
b20767183,http://www.catalog.slsa.sa.gov.au/record=b2076718,http://www.catalog.slsa.sa.gov.au/xrecord=b2076718,,Grayson's Coffee Palace,1910,Photograph (b&w print)  15.3 cm x 20.7 cm (image)   18.2 cm x 23 cm (mount);RESERVE 1,"ACRE 13:  Grayson's Coffee Palace, demolished in 1918 when the Grosvenor was built on the site",Restaurants -- South Australia -- Adelaide,http://images.slsa.sa.gov.au/mpcimg/54750/B54664.jpg,13
b20592437,http://www.catalog.slsa.sa.gov.au/record=b2059243,http://www.catalog.slsa.sa.gov.au/xrecord=b2059243,"Government Photolithographer (S. Aust.), photographer","North Terrace, Adelaide",1918,Photograph  20.3 cm x 15.0cm,"North Terrace, Adelaide, taken 13 September 1918, after the demolition of the Federal Coffee Palace. (The site of the modern Grosvenor.)",,http://images.slsa.sa.gov.au/mpcimg/00250/B37.jpg,13
b20592449,http://www.catalog.slsa.sa.gov.au/record=b2059244,http://www.catalog.slsa.sa.gov.au/xrecord=b2059244,"Government Photolithographer (S. Aust.), photographer","North Terrace, Adelaide",1918,Photograph  19.9 cm x 13.6 cm,"North Terrace, Adelaide, taken 13 September 1918, after the demolition of the Federal Coffee Palace. (Site of the modern Grosvenor)",,http://images.slsa.sa.gov.au/mpcimg/00250/B38.jpg,13
b20592450,http://www.catalog.slsa.sa.gov.au/record=b2059245,http://www.catalog.slsa.sa.gov.au/xrecord=b2059245,"Government Photolithographer (S. Aust.), photographer","North Terrace, Adelaide",1918,photograph,"North Terrace, Adelaide, taken in July 1918 just prior to demolition of the Federal Coffee Palace. (Site of the present Grosvenor.) For view of premises erected on this site in 1919 see B 2327",,http://images.slsa.sa.gov.au/mpcimg/00250/B39.jpg,13
b20592462,http://www.catalog.slsa.sa.gov.au/record=b2059246,http://www.catalog.slsa.sa.gov.au/xrecord=b2059246,"Government Photolithographer (S. Aust.), photographer","North Terrace, Adelaide",1918,Photograph  20.0 cm x 15.2 cm,"North Terrace, Adelaide.  Excavations at the rear of the Federal Coffee Palace. On the site of the Grosvenor, looking east. Taken in July 1918",,http://images.slsa.sa.gov.au/mpcimg/00250/B76.jpg,13
b20592474,http://www.catalog.slsa.sa.gov.au/record=b2059247,http://www.catalog.slsa.sa.gov.au/xrecord=b2059247,"Government Photolithographer (S. Aust.), photographer","North Terrace, Adelaide",1918,Photograph  20.1 cm x 15.5 cm,"North Terrace, Adelaide, July 1918. At the rear of the Federal Coffee Palace, just prior to its demolition.  View shows horse with cart full of rubble",,http://images.slsa.sa.gov.au/mpcimg/00250/B94.jpg,13
b20592577,http://www.catalog.slsa.sa.gov.au/record=b2059257,http://www.catalog.slsa.sa.gov.au/xrecord=b2059257,"State Library of South Australia, photographer","North Tce., Grosvenor Hotel",1919,Photograph  21.6 cm x 15.8 cm,"North Terrace, south side. The GRosvenor Hotel in course of construction. 1919",,http://images.slsa.sa.gov.au/mpcimg/16250/B16110.jpg,13
b20592589,http://www.catalog.slsa.sa.gov.au/record=b2059258,http://www.catalog.slsa.sa.gov.au/xrecord=b2059258,"State Library of South Australia, photographer","North Tce., Grosvenor Hotel",1919,Photograph  21.6 cm x 15.8 cm,"North Terrace, south side. The carpark under the Grosvenor Hotel in course of construction. 1919",,http://images.slsa.sa.gov.au/mpcimg/16250/B16111.jpg,13
b20592590,http://www.catalog.slsa.sa.gov.au/record=b2059259,http://www.catalog.slsa.sa.gov.au/xrecord=b2059259,"State Library of South Australia, photographer","North Tce., Grosvenor Hotel",1919,Photograph  21.6 cm x 15.8 cm,"North Terrace, south side. The carpark under the Grosvenor Hotel, in course of construction",,http://images.slsa.sa.gov.au/mpcimg/16250/B16112.jpg,13
b20592607,http://www.catalog.slsa.sa.gov.au/record=b2059260,http://www.catalog.slsa.sa.gov.au/xrecord=b2059260,"State Library of South Australia, photographer","North Tce., Grosvenor Hotel",1919,Photograph  21.6 cm x 15.8 cm,"North Terrace, south side. The carpark under the Grosvenor Hotel. In course of construction. 1919",,http://images.slsa.sa.gov.au/mpcimg/16250/B16113.jpg,13
b20592619,http://www.catalog.slsa.sa.gov.au/record=b2059261,http://www.catalog.slsa.sa.gov.au/xrecord=b2059261,"State Library of South Australia, photographer","North Tce., Grosvenor Hotel",1919,Photograph  21.6 cm x 15.8 cm,"North Terrace, south side. The Grosvenor Hotel in course of construction. 1919",,http://images.slsa.sa.gov.au/mpcimg/16250/B16114.jpg,13
b20592620,http://www.catalog.slsa.sa.gov.au/record=b2059262,http://www.catalog.slsa.sa.gov.au/xrecord=b2059262,"State Library of South Australia, photographer","North Tce., Grosvenor Hotel",1919,Photograph  21.6 cm x 15.8 cm,"North Terrace, south side. The Grosvenor Hotel in course of construction. 1919",,http://images.slsa.sa.gov.au/mpcimg/16250/B16115.jpg,13
b20592796,http://www.catalog.slsa.sa.gov.au/record=b2059279,http://www.catalog.slsa.sa.gov.au/xrecord=b2059279,,"North Terrace, South Side",1900,Photograph  20.7 cm x 15.9 cm;RESERVE 1 b,"North Terrace, South side. Australasian Implement co. Probably 1900s",,http://images.slsa.sa.gov.au/mpcimg/19250/B19202.jpg,14
b20592693,http://www.catalog.slsa.sa.gov.au/record=b2059269,http://www.catalog.slsa.sa.gov.au/xrecord=b2059269,"Gazard, John, photographer",North Terrace West,1905,Photograph  14.1 cm x 8.8 cm,North Terrace West. South side. 1905-07 The left side of Wood Son's building is approx. 105 yards west of King William Street (abutting west side of lane leading to the Theatre Royal). The near side of 4 story building on the right abuts Bank Street and has a frontage of 15 yards. The building past the Wood Son's building is the South Australian Hotel.,,http://images.slsa.sa.gov.au/mpcimg/09000/B8851.jpg,14
b20592814,http://www.catalog.slsa.sa.gov.au/record=b2059281,http://www.catalog.slsa.sa.gov.au/xrecord=b2059281,,"North Terrace, South Side",1906,photograph,"North Terrace, South Side, between Bank & Blyth Streets. c. 1906",,http://images.slsa.sa.gov.au/mpcimg/38000/B37944.jpg,14
b20592681,http://www.catalog.slsa.sa.gov.au/record=b2059268,http://www.catalog.slsa.sa.gov.au/xrecord=b2059268,"Gall, Ernest, photographer",Bank Street & North Terrace,1907,Photograph & plate  24.4 cm x 19.1 cm,"North Terrace West Corner of Bank Street, 15 July 1907 Frontage of three story building on corner (Commercial Travelers club): 161/2 yards Far side of shops nextdoor east is 31 yards east of Bank Street. Foundation stone of building laid in 1904",,http://images.slsa.sa.gov.au/mpcimg/05500/B5346.jpg,14
b20592899,http://www.catalog.slsa.sa.gov.au/record=b2059289,http://www.catalog.slsa.sa.gov.au/xrecord=b2059289,"Gall, Ernest, photographer","North Terrace, West",1902,Photograph & Plate  24.6 cm x 19.2 cm,The South Australian Hotel on North Terrace West. March 1902 On the right is the road running south to the Theatre Royal Left side of hotel is 17 yards west of Gresham Street,,http://images.slsa.sa.gov.au/mpcimg/05500/B5301.jpg,15
b20743373,http://www.catalog.slsa.sa.gov.au/record=b2074337,http://www.catalog.slsa.sa.gov.au/xrecord=b2074337,,"Premises of G. Wood, Son & Co., Adelaide",1902,photograph  22.5 cm x 16.5 cm;RESERVE 1 A;RESERVE 4 [glass plate],"ACRE 15: Premises of G. Wood, Son & Co., wholesale grocers, 206 - 208 North Terrace, Adelaide, December 1902","G. Wood, Son & Co. (Firm);Architecture -- South Australia -- Adelaide;Wholesale trade -- South Australia -- Adelaide;Grocers -- South Australia -- Adelaide",http://images.slsa.sa.gov.au/mpcimg/64000/B63825.jpg,15
b20593089,http://www.catalog.slsa.sa.gov.au/record=b2059308,http://www.catalog.slsa.sa.gov.au/xrecord=b2059308,,South Australian Hotel,1906,Postcard  13.6 cm x 8 cm,"South Australian Hotel, North Terrace",,http://images.slsa.sa.gov.au/mpcimg/24500/B24327.jpg,15
b20592863,http://www.catalog.slsa.sa.gov.au/record=b2059286,http://www.catalog.slsa.sa.gov.au/xrecord=b2059286,,"North Terrace, Adelaide, looking West",1908,Photograph  15.7 cm x 11.0 cm,"[General description] A lady in full Edwardian dress trips across the North Terrace- King William Street intersection. Houses of Parliament are on the right, hotels on the left and traffic is still mostly horse-drawn  only one car in sight.  Horse cabs are standing in the centre of the road waiting for business, framed by utility wires which cross the intersection of North Terrace and King William Street.  The three storey building with verandahs on the left is the iconic South Australian Hotel. [On back of photograph] 'North Terrace, looking west from King William Street. / c. 1908'","South Australian Hotel (Adelaide, S. Aust.);North Terrace (Adelaide, S. Aust.)",http://images.slsa.sa.gov.au/mpcimg/04500/B4472.jpg,15
b20592917,http://www.catalog.slsa.sa.gov.au/record=b2059291,http://www.catalog.slsa.sa.gov.au/xrecord=b2059291,"Gazard, John, photographer","North Terrace, West",1908,photograph,North Terrace West 1908-14 South Australian Hotel. On the right is the road running south to the Theatre Royal. Left side of hotel is 17 yards west of Gresham Street,,http://images.slsa.sa.gov.au/mpcimg/09000/B8833.jpg,15
b20593090,http://www.catalog.slsa.sa.gov.au/record=b2059309,http://www.catalog.slsa.sa.gov.au/xrecord=b2059309,,"North Terrace, South Side",1909,Photograph  14.5 cm x 10.5 cm,"North Terrace, South Side",,http://images.slsa.sa.gov.au/mpcimg/28500/B28392.jpg,15
b20592887,http://www.catalog.slsa.sa.gov.au/record=b2059288,http://www.catalog.slsa.sa.gov.au/xrecord=b2059288,"Walker, Gordon, photographer","North Terrace, West",1918,Photograph  15.8 cm x 10.8 cm,"North Terrace West, south side. Looking west from North Terrace. 12 November 1918 (day following Armistice Day)","World War, 1914-1918 -- South Australia -- Adelaide -- Peace;Crowds -- South Australia -- Adelaide;North Terrace (Adelaide, S. Aust.)",http://images.slsa.sa.gov.au/mpcimg/05750/B5511.jpg,15
b20593107,http://www.catalog.slsa.sa.gov.au/record=b2059310,http://www.catalog.slsa.sa.gov.au/xrecord=b2059310,"Smith, W. S., photographer",South Australian Hotel,1900,Photograph (b&w print)  17.6 cm x 21.7 cm;C1,South Australian Hotel - interior view of one of the guest rooms. Copied from glass negative,,http://images.slsa.sa.gov.au/mpcimg/41000/B40803.jpg,16
b20593119,http://www.catalog.slsa.sa.gov.au/record=b2059311,http://www.catalog.slsa.sa.gov.au/xrecord=b2059311,,South Australian Hotel,1900,Photograph (b&w print)  17.6 cm x 22.3 cm;C1,South Australian Hotel - Interior view of a dining area. Copied from glass negative,,http://images.slsa.sa.gov.au/mpcimg/41000/B40804.jpg,16
b20593120,http://www.catalog.slsa.sa.gov.au/record=b2059312,http://www.catalog.slsa.sa.gov.au/xrecord=b2059312,,South Australian Hotel,1900,Photograph (b&w print)  17.5 cm x 22.6 cm;C1,South Australian Hotel - Interior view of a dining area,,http://images.slsa.sa.gov.au/mpcimg/41000/B40805.jpg,16
b20593132,http://www.catalog.slsa.sa.gov.au/record=b2059313,http://www.catalog.slsa.sa.gov.au/xrecord=b2059313,,South Australian Hotel,1900,Photograph (b&w print)  17 cm x 22.7 cm;C1,South Australian Hotel - Interior view of a central staircase,,http://images.slsa.sa.gov.au/mpcimg/41000/B40806.jpg,16
b20593211,http://www.catalog.slsa.sa.gov.au/record=b2059321,http://www.catalog.slsa.sa.gov.au/xrecord=b2059321,"Government Photolithographer (S. Aust.), photographer","King William Street, west side, Adelaide",1900,Photograph  19.8 cm x 15.5 cm,"ACRE 16: King William Street, west side, Adelaide, just prior to addition of another storey. South corner of Gresham Place. Frontage of AMP building 23 yards.  For view taken in 1924 see B 2041","Australian Mutual Provident Society -- Buildings;Architecture -- South Australia -- Adelaide;Adelaide (S. Aust.) -- Buildings, structures, etc",http://images.slsa.sa.gov.au/mpcimg/00250/B36.jpg,16
b20754292,http://www.catalog.slsa.sa.gov.au/record=b2075429,http://www.catalog.slsa.sa.gov.au/xrecord=b2075429,,King William Street looking south,1900,Postcard (b&w)  photograph  9 cm x 14 cm;RESERVE 1,ACRE 16: King William Street looking south  two large horse drawn trams and other vehicles are moving along the centre of the wide dusty road,"Roads -- South Australia -- Adelaide;Trams -- South Australia -- Adelaide;Horse drawn vehicles -- South Australia -- Adelaide;Stores, Retail -- South Australia -- Adelaide",http://images.slsa.sa.gov.au/mpcimg/62250/B62219.jpg,16
b20593430,http://www.catalog.slsa.sa.gov.au/record=b2059343,http://www.catalog.slsa.sa.gov.au/xrecord=b2059343,"Gall, Ernest, photographer",Gollin & Co. Premises,1907,Photograph & plate  24 cm x 19 cm,"Gollin & Co. premises, North Terrace west, corner of Gresham Street. Frontage: 8 and a half yards",,http://images.slsa.sa.gov.au/mpcimg/05500/B5332.jpg,16
b20841437,http://www.catalog.slsa.sa.gov.au/record=b2084143,http://www.catalog.slsa.sa.gov.au/xrecord=b2084143,,"King William Street, Adelaide",1910,Photograph  15.5 x 21.5 cm,"ACRE 16: Pedestrians mingle with horse drawn vehicles and bicycles as they cross King William Street in Adelaide  a view looking south, showing the Post Office and Town Hall towers in the distance","Roads -- South Australia -- Adelaide;Stores, Retail -- South Australia -- Adelaide;Public buildings -- South Australia -- Adelaide",http://images.slsa.sa.gov.au/mpcimg/63000/B62875.jpg,16
b20546300,http://www.catalog.slsa.sa.gov.au/record=b2054630,http://www.catalog.slsa.sa.gov.au/xrecord=b2054630,"State Library of South Australia, photographer",King William Street,1916,Photograph  14 cm x 10 cm,"King William Street, west side. E S & A Bank north corner abuts Gresham Place. After 1916",,http://images.slsa.sa.gov.au/mpcimg/18250/B18018.jpg,16
b20818865,http://www.catalog.slsa.sa.gov.au/record=b2081886,http://www.catalog.slsa.sa.gov.au/xrecord=b2081886,,V. A. D. nurses marching along King William Street,1917,Photograph (b&w print)  6.6 cm x 11.2 cm;RESERVE 1,ACRE 16: Contingent of V.A.D. nurses marching along King William Street with Effie Green leading them  the procession was in aid of a Red Cross fundraising drive,"Nurses -- South Australia;Volunteers -- South Australia;World War, 1914-1918",http://images.slsa.sa.gov.au/mpcimg/60000/B59824.jpg,16
b20818877,http://www.catalog.slsa.sa.gov.au/record=b2081887,http://www.catalog.slsa.sa.gov.au/xrecord=b2081887,,Red Cross Tea Room girls marching along King William Street,1917,Photograph (b&w print)  6.6 cm x 11.1 cm;RESERVE 1,ACRE 16: Contingent of Red Cross Tea Room girls leading a procession in aid of a Red Cross fundraising drive along King William Street,Red Cross -- South Australia;Nurses -- South Australia,http://images.slsa.sa.gov.au/mpcimg/60000/B59825.jpg,16
b20593442,http://www.catalog.slsa.sa.gov.au/record=b2059344,http://www.catalog.slsa.sa.gov.au/xrecord=b2059344,"Walker, Gordon, photographer",Armistice Celebrations,1918,Photograph  15.8 cm x 10.8 cm,"Armistice celebrations, November 12th 1918, showing the crowds on the south western corner of King William Street and North Terrace","World War, 1914-1918 -- South Australia -- Adelaide -- Peace;Crowds -- South Australia -- Adelaide;World War, 1914-1918 -- South Australia -- Adelaide;North Terrace (Adelaide, S. Aust.);King William Street (Adelaide, S.Aust.)",http://images.slsa.sa.gov.au/mpcimg/05750/B5510.jpg,16
b20593454,http://www.catalog.slsa.sa.gov.au/record=b2059345,http://www.catalog.slsa.sa.gov.au/xrecord=b2059345,"Walker, Gordon, photographer",Armistice Celebrations,1918,Photograph  15.6 cm x 11.1 cm,"Armistice celebrations on November 12th 1918, showing crowds on King William Street, west side, looking from North Terrace","Crowds -- South Australia -- Adelaide;World War, 1914-1918 -- South Australia -- Adelaide;World War, 1914-1918 -- South Australia -- Adelaide -- Peace;North Terrace (Adelaide, S. Aust.)",http://images.slsa.sa.gov.au/mpcimg/05750/B5513.jpg,16
b20593521,http://www.catalog.slsa.sa.gov.au/record=b2059352,http://www.catalog.slsa.sa.gov.au/xrecord=b2059352,"Walker, Gordon, photographer",Armistice Celebrations,1918,photograph,"Armistice celebration crowd on the west corner of King William Street and North Terrace. Day after Armistice Day, 12 November 1918","Crowds -- South Australia -- Adelaide;World War, 1914-1918 -- Peace;World War, 1914-1918 -- Armistices;King William Street (Adelaide, S. Aust.);North Terrace (Adelaide, S. Aust.)",http://images.slsa.sa.gov.au/mpcimg/08500/B8479.jpg,16
b20546373,http://www.catalog.slsa.sa.gov.au/record=b2054637,http://www.catalog.slsa.sa.gov.au/xrecord=b2054637,,Tramway construction,1919,Photograph  20.6 cm x 15.6 cm,"Tramway construction in King William Street pre 1920. The tramway rail network at the King William Street, North Terrace corner was installed in 1908-9",Tramways -- South Australia -- Adelaide,http://images.slsa.sa.gov.au/mpcimg/27750/B27543.jpg,16
b20546701,http://www.catalog.slsa.sa.gov.au/record=b2054670,http://www.catalog.slsa.sa.gov.au/xrecord=b2054670,"Gall, Ernest, photographer","King William Street, Adelaide",1901,Photograph  16.0 cm x 11.5 cm,"King William Street, Adelaide, east side, showing the Savings Bank, illuminated [probably] in  honour of the Duke of York's visit. The frontage of the bank is 13 yards and its left side is 58 yards south of North Terrace","Savings Bank of South Australia;Royal visitors -- South Australia -- Adelaide;King William Street (Adelaide, S. Aust.) -- Buildings",http://images.slsa.sa.gov.au/mpcimg/02750/B2608.jpg,17
b20546877,http://www.catalog.slsa.sa.gov.au/record=b2054687,http://www.catalog.slsa.sa.gov.au/xrecord=b2054687,"Gall, Ernest, photographer",Soldiers Memorial,1904,Photograph  19.5 cm  x15.3 cm,"Unveiling of the South African War Soldier's Memorial, 6 June 1904",,http://images.slsa.sa.gov.au/mpcimg/05500/B5383.jpg,17
b20547183,http://www.catalog.slsa.sa.gov.au/record=b2054718,http://www.catalog.slsa.sa.gov.au/xrecord=b2054718,,North Terrace,1905,Photograph  14 cm x 9 cm,"North Terrace, south side, corner of King William Street, east side",,http://images.slsa.sa.gov.au/mpcimg/17500/B17393.jpg,17
b20546798,http://www.catalog.slsa.sa.gov.au/record=b2054679,http://www.catalog.slsa.sa.gov.au/xrecord=b2054679,"Gall, Ernest, photographer","King William Street, Adelaide",1906,Photograph  15.6 cm x11.1 cm,"[General description] The premises of the pastoral company Bagot, Shakes and Lewis Limited, established in 1860 by Edward Meade Bagot and later  aquired by Goldsborough Mort in 1924. This building was designed by James MacGeorge for the Savings Bank in the late 1850s. [On back of photograph] 'Acre 17 / King William Street, east side / 1906 /  Left side of Bagot, Shakes' premises is 58 yards south of North Terrace. Right side is 71 yards south of North Terrace.'","Bagot, Shakes & Lewis;Savings Bank of South Australia -- Buildings;King William Street (Adelaide, S. Aust.) -- Buildings",http://images.slsa.sa.gov.au/mpcimg/03000/B2958.jpg,17
b20547420,http://www.catalog.slsa.sa.gov.au/record=b2054742,http://www.catalog.slsa.sa.gov.au/xrecord=b2054742,,King William Street,1910,photograph,Corner of King William Street and North Terrace showing the tramway control cabin,,http://images.slsa.sa.gov.au/mpcimg/40000/B39965.jpg,17
b20547432,http://www.catalog.slsa.sa.gov.au/record=b2054743,http://www.catalog.slsa.sa.gov.au/xrecord=b2054743,,North Terrace,1910,photograph,North Terrace looking south,,http://images.slsa.sa.gov.au/mpcimg/40000/B39966.jpg,17
b20546580,http://www.catalog.slsa.sa.gov.au/record=b2054658,http://www.catalog.slsa.sa.gov.au/xrecord=b2054658,,"North Terrace, Adelaide",1913,Photograph  20.6 cm x 15.7 cm,"Eastern corner of North Terrace and King William Street, Adelaide.  The extreme right of the photo is 71 yards south of North Terrace",,http://images.slsa.sa.gov.au/mpcimg/01000/B791.jpg,17
b20547626,http://www.catalog.slsa.sa.gov.au/record=b2054762,http://www.catalog.slsa.sa.gov.au/xrecord=b2054762,"Gall, Ernest, photographer",Stephens Place,1910,Photograph  20.8 cm x 15.8 cm,[General Description] Western side of Stephens Place between Rundle Street and North Terrace. Marshalls Stores are situated in the buildings along this side of the street. Ladies are shopping and chatting outside on the footpath. [On back of photograph] Acres 18 & 45. Stephens Place. West side. Probably about 1909. See B 7787/6. Extreme left is 30 yards north of Rundle Street. Extreme right is 92 and a half yards north of Rundle Street,,http://images.slsa.sa.gov.au/mpcimg/03250/B3167.jpg,18
